EXIO3,year,Country Area,Land Use,Pourcentage
CY,1980,9240.0,3267.280031,35.36017349567099
DE,1980,349130.0,291390.245572,83.46181811130525
DK,1980,40000.0,34077.671118,85.194177795
ES,1980,499470.0,465999.936719,93.29888416101066
FI,1980,304590.0,246012.634604,80.76845418562658
FR,1980,547566.0,461972.944648,84.36844958379447
GB,1980,241930.0,211718.324961,87.51222459430414
GR,1980,128900.0,128838.77125,99.952499030256
HU,1980,89910.0,81928.448682,91.12273237904571
ID,1980,1811570.0,1454981.0,80.31602422208361
IE,1980,68890.0,54767.348091,79.49970691101757
IN,1980,2973190.0,2487129.0,83.65186886811809
IT,1980,294110.0,244256.927227,83.04951454455816
JP,1980,366300.0,302582.546753,82.60511786868688
KR,1980,96460.0,82743.809547,85.78043701741655
LU,1980,2574.46,2125.139981,82.5470188311335
MT,1980,320.0,132.929997,41.540624062499994
MX,1980,1943950.0,1722218.0,88.59373955091438
NL,1980,33760.0,23643.94948,70.03539537914692
NO,1980,365244.0,131247.992205,35.93433217383447
PL,1980,306290.0,282099.680369,92.10215167618924
PT,1980,91500.0,73246.659094,80.0509935453552
RO,1980,230340.0,210811.701172,91.52196803507857
SE,1980,407339.7,312536.589325,76.72627768052071
TR,1980,769630.0,598732.002031,77.79478477073398
TW,1980,35410.0,9069.999805,25.61423271674668
US,1980,9158960.0,7353308.0,80.28540358293955
WA,1980,7292028.74,5407027.0,74.1498311757888
WE,1980,130315.25,39533.841146,30.337079617312632
WF,1980,23962685.0,14271980.0,59.55918545855776
WL,1980,10213233.61,7410017.0,72.55309418110922
WM,1980,6459790.0,2097170.0,32.46498725190757
ZA,1980,1213090.0,1127714.67,92.96216026840548
AT,1981,82520.0,67412.830825,81.69271791686863
AU,1981,7682300.0,6016723.0,78.31929239941164
BE,1981,30120.59,21083.640015,69.9974336990079
BG,1981,110630.0,93611.620352,84.6168492741571
BR,1981,8358140.0,7650414.0,91.53249407164752
CA,1981,8965590.0,4083318.0,45.54433115946636
CH,1981,39528.71,28056.410352,70.97729815114128
CN,1981,9424680.0,6737992.44,71.49306331886069
CY,1981,9240.0,3293.289933,35.641665941558436
DE,1981,349130.0,291186.925994,83.4035820450835
DK,1981,40000.0,34022.959301,85.05739825250001
ES,1981,499460.0,465878.634375,93.27646545769431
FI,1981,304590.0,246008.327946,80.76704026593124
FR,1981,547566.0,461827.305898,84.34185210513436
GB,1981,241930.0,210662.173047,87.07567190798991
GR,1981,128900.0,128945.422969,100.03523892086889
HU,1981,89900.0,81769.281062,90.95581875639598
ID,1981,1811570.0,1455145.0,80.32507714303063
IE,1981,68890.0,54589.668731,79.2417894193642
IN,1981,2973190.0,2487718.0,83.67167924014274
IT,1981,294110.0,244202.890684,83.0311416422427
JP,1981,366400.0,302650.06035,82.60099900382096
KR,1981,96460.0,82742.551048,85.77913233257307
LU,1981,2574.46,2126.229978,82.5893576905448
MT,1981,320.0,132.929997,41.540624062499994
MX,1981,1943950.0,1722988.0,88.6333496231899
NL,1981,33760.0,23594.039431,69.88755755627963
